Singer,SingerID,FileName,Attack,Label
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000000,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000001,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000002,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000003,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000004,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000005,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000006,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000007,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000008,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000009,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000010,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000011,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000012,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000013,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000014,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000015,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000016,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000017,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000018,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000019,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000020,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000021,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000022,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000023,-,bonafide
ofuton,CtrSVDD_0000,CtrSVDD_0000_T_0000024,-,bonafide
